source	Unique taxa	Unique environments	Unique processes	Taxa associations with Environments	Taxa associations with processes	Total interactions
microbes	495483
BioProject	7817	398	1495	33081	63557	96638

	26
strain	4512
genus	1
species	3074
biotype	3
subspecies	53
isolate	27
serogroup	1
species group	1
serotype	6
no rank	107
forma specialis	6
2	7529
2157	288
JGI IMG	7329	128	0	50413	0	50413

	38
strain	5773
genus	62
species	8959
order	18
biotype	3
clade	3
subspecies	53
isolate	32
subphylum	1
class	13
phylum	32
family	25
serogroup	1
species group	2
serotype	6
no rank	119
forma specialis	6
2	14137
2157	1009
